fund,name,code,filing_date,obligation_date,ratio,note,source
野村絢+シティインデックスイレブンス,高島屋,8233,2025-09-22,,新規 5.32%,CB含む・重要提案行為目的,https://www.nikkei.com/article/DGXZQOUC226SQ0S5A920C2000000/
シティインデックスイレブンス,マンダム,4917,2025-10-15,,16.59%→17.63%,変更報告書（買い増し）,https://maonline.jp/kabuhoyu/sh-s100wuoy
野村幸弘（旧村上系）,養命酒製造,2540,2025-10-21,,→28.01%,買い増し,https://www.nikkei.com/article/DGXZQOUC217I90R21C25A0000000/
シティインデックスイレブンス,ディー・エヌ・エー,2432,2025-10-27,,新規 5.12%,8/22から段階取得・約142億円,https://maonline.jp/kabuhoyu/sh-s100wwow
野村絢ほか旧村上系,フェローテックHD,6890,2025-10-29,,新規 5.31%,,https://www.nikkei.com/article/DGXZQOUB299160Z21C25A0000000/
野村絢ほか旧村上系,フジ・メディアHD,4676,2025-12-15,,→約18%,⚠報道ベース・33.3%まで買い増し通告,https://www.jiji.com/jc/article?k=2025121500951&g=eco
シティインデックスイレブンス,高島屋,8233,2026-01-09,2025-12-26,6.55%→7.68%,変更報告書No.2,https://kabutan.jp/news/marketnews/?b=n202601091026
ストラテジックキャピタル,ノリタケ,5331,2026-01-14,,8.17%→9.22%,変更報告書No.4（初回2025-07-01）,https://kabutan.jp/news/marketnews/?b=n202601140757
ひびき・パース・アドバイザーズ,玉井商船,9127,2026-01-22,,新規 8.95%,純投資＋状況に応じ重要提案,https://maonline.jp/kabuhoyu/sh-s100xg5j
シティインデックスイレブンス,サンケイリアルエステート投資法人,2972,2026-01-29,,→15.9%,REIT投資口・連続買い増し,https://maonline.jp/db/shareholding_reports/S100XHPK
エスグラントコーポレーション（旧村上系）,フジ・メディアHD,4676,2026-03-19,,新規 5.76%,⚠2026-04-15変更で4.62%に減少,https://www.nikkei.com/article/DGXZQOUC197NL0Z10C26A3000000/
ストラテジックキャピタル,淀川製鋼所,5451,2026-04-07,,→15.35%,⚠増減方向未確認,https://irbank.net/E27325/share?t=1
ストラテジックキャピタル,東京機械製作所,6335,2026-04-24,,7.64%,⚠一次ソース未確認,https://ronpyousha.com/2026/04/24/
シティインデックスイレブンス,日本製紙,3863,2026-05-12,,新規 5.11%,その後6/15までに8.73%へ連続買い増し,https://kabutan.jp/news/marketnews/?b=n202605121299
シティインデックスイレブンス,月島ホールディングス,6332,2026-05-31,,新規 5.17%,⚠提出日未確認（2026年5月頃）,https://moneyworld.jp/news/05_00170624_news
LIM Advisors,アドバンスト・メディア,3773,2026-06-05,2026-05-29,新規 6.05%,香港系・日本で長年活動,https://maonline.jp/articles/sh-s100y7zg
ストラテジックキャピタル,ニップン,2001,2026-06-25,2026-06-18,新規 5.09%,資本政策・不動産処分・増配の重要提案予定,https://www.nikkei.com/article/DGXZQOUC257I60V20C26A6000000/
シティインデックスイレブンス,三菱製紙,3864,2026-07-21,,新規 5.03%,,https://maonline.jp/kabuhoyu/sh-s100yr7m
ひびき・パース・アドバイザーズ,日本高純度化学,4973,2026-07-24,,→6.30%,⚠増減方向未確認,https://x.com/stpedia/status/2080445885796979188
エリオット,NIPPON EXPRESS HD,9147,2026-04-28,,新規 5.04%,重要提案行為を示唆・報告でストップ高,https://www.bloomberg.com/jp/news/articles/2026-04-28/TE6EVPKK3NY900
エリオット,NIPPON EXPRESS HD,9147,2026-05-20,,5.04%→6.05%,M&A戦略の一時停止・再検証を主張,https://www.nikkei.com/article/DGXZQOUB2077T0Q6A520C2000000/
オアシス,エス・エム・エス,2175,2026-02-04,,7.76%,⚠変化前不明・報道ベース,https://ronpyousha.com/2026/02/04/
オアシス,インターネットイニシアティブ,3774,2026-05-07,,7.48%,⚠新規か買い増しか未確認,https://maonline.jp/kabuhoyu/sh-s100y1ml
オアシス,エン・ジャパン,4849,2026-05-11,,9.94%,⚠提出者・銘柄の紐付け未確認,https://maonline.jp/db/shareholding_reports/S100Y2HO
オアシス,データセクション,3905,2026-06-02,2026-06-01,新規 9.76%,市場外で@5343円取得・純投資,https://kabutan.jp/news/marketnews/?b=n202606021009
オアシス,マネックスグループ,8698,2026-06-30,,新規 5.15%,⚠提出日概算・純投資,https://finance.biggo.jp/news/ceb3e042-64c7-4054-8ba4-8ac38f7fa06e
オアシス,インフォマート,2492,2026-07-02,,新規 5.07%,役員構成変更等の重要提案を予定,https://maonline.jp/db/shareholding_reports/S100YMTO
オアシス,インフォマート,2492,2026-08-04,,7.49%→8.54%,変更報告書No.3,https://s.kabutan.jp/news/n202608041040/
3D Investment,スクウェア・エニックスHD,9684,2026-02-04,2026-01-28,16.48%→17.50%,変更報告書No.11,https://kabutan.jp/news/marketnews/?b=n202602040955
3D Investment,カシオ計算機,6952,2026-04-02,2026-03-26,新規 5.03%,,https://s.kabutan.jp/news/n202604020983/
3D Investment,J.フロント リテイリング,3086,2026-06-19,,新規（5%超）,⚠割合未確認,https://maonline.jp/kabuhoyu/sh-s100yfl5
エフィッシモ,UACJ,5741,2026-02-26,,23.29%→24.28%,筆頭株主として買い増し・純投資,https://www.nikkei.com/article/DGXZQOUC273ZR0X20C26A2000000/
バリューアクト,マネーフォワード,3994,2025-07-25,,新規 5.62%,⚠期間開始2日前の提出,https://kabutan.jp/news/marketnews/?b=n202507250404
バリューアクト,宝ホールディングス,2531,2025-12-18,2025-12-11,9.84%→12.44%,2026年5月報道で19.01%まで買い増し,https://kabutan.jp/news/marketnews/?b=n202512180298
NAVF（ダルトン系）,ザ・パック,3950,2026-06-09,,→9.06%,変更報告書（保有増加）,https://maonline.jp/kabuhoyu/sh-s100y8ym
シルチェスター,ダイセル,4202,2026-06-15,2026-06-08,7.88%→9.21%,⚠提出日は義務発生日からの推定,https://irbank.net/E00818/share?e=E24872
AVI,三陽商会,8011,2025-12-15,,新規 5.36%,⚠割合の一次確認未了,https://kabutan.jp/holder/lists/?edicode=E34595
AVI,アシロ,7378,2025-12-24,,6.78%,⚠新規/買い増し未確認・その後大幅積み増し情報,https://irbank.net/E34595/share?t=1
AVI,倉敷紡績,3106,2026-01-15,,新規 5.02%,⚠割合の一次確認未了,https://kabutan.jp/holder/lists/?edicode=E34595
ファラロン,ニッコンHD,9072,2026-04-02,2026-03-26,19.72%→23.00%,変更報告書No.8,https://kabutan.jp/news/marketnews/?b=n202604020955
